accuracy,loss,root_mean_squared_error,val_accuracy,val_loss,val_root_mean_squared_error
0.51788330078125,0.32285547256469727,0.18354320526123047,0.5674641728401184,0.33439645171165466,0.18909545242786407
0.5717833042144775,0.2871962785720825,0.15016181766986847,0.584228515625,0.3356417417526245,0.18856076896190643
0.6269589066505432,0.27571550011634827,0.13895706832408905,0.5966796875,0.7207697033882141,0.24494366347789764
0.677026093006134,0.2680315375328064,0.13090504705905914,0.5972267985343933,0.9587177038192749,0.230107381939888
0.6949159502983093,0.2634296417236328,0.125978484749794,0.5966796875,0.9899821281433105,0.22306488454341888
0.7040745615959167,0.2601150572299957,0.12225935608148575,0.0910731852054596,0.8744407892227173,0.2516957223415375
0.7174665331840515,0.25749266147613525,0.1192411333322525,0.59739089012146,1.9134690761566162,0.24392180144786835
0.7283143997192383,0.25501641631126404,0.11644220352172852,0.5975549817085266,1.1998294591903687,0.2766627073287964
0.7388976812362671,0.25321418046951294,0.11430341750383377,0.4392845332622528,1.3042775392532349,0.2958792746067047
0.742031991481781,0.2517661452293396,0.11245982348918915,0.5961601734161377,0.5416898727416992,0.2300347536802292
0.7496641874313354,0.25047799944877625,0.11091495305299759,0.5962421894073486,0.43360212445259094,0.22833169996738434
0.7520454525947571,0.24955958127975464,0.10962964594364166,0.5953396558761597,1.3959053754806519,0.3075485825538635
0.7551389932632446,0.24858875572681427,0.10846923291683197,0.09156547486782074,0.513763964176178,0.23006495833396912
0.7562990784645081,0.24781787395477295,0.10746653378009796,0.05546439066529274,0.49429434537887573,0.25670871138572693
0.7589245438575745,0.2469845563173294,0.1063830778002739,0.4314900040626526,0.7249913215637207,0.23451046645641327
0.7626287341117859,0.24638989567756653,0.10557765513658524,0.5961601734161377,0.7825890183448792,0.25748053193092346
0.763096809387207,0.2459326982498169,0.10494867712259293,0.25459468364715576,0.9661356210708618,0.3000321686267853
0.7605527639389038,0.24550224840641022,0.10431930422782898,0.5958319902420044,0.5134959816932678,0.2391616404056549
0.7661293745040894,0.24482126533985138,0.10339543968439102,0.054808009415864944,0.5262100100517273,0.24167679250240326
0.7676761746406555,0.24454878270626068,0.10292263329029083,0.05497210472822189,0.8131449222564697,0.3005198836326599
0.768958330154419,0.2439204305410385,0.10208356380462646,0.256317675113678,1.0006920099258423,0.29238376021385193
0.7680017948150635,0.24363690614700317,0.10165613889694214,0.2610764801502228,0.7363846302032471,0.24596098065376282
0.7724589705467224,0.24312502145767212,0.10082019120454788,0.05571053549647331,2.3993630409240723,0.32862982153892517
0.7738429307937622,0.2426443248987198,0.10020036995410919,0.04594683274626732,0.9944726824760437,0.2875975966453552
0.7719094753265381,0.24246732890605927,0.09985709190368652,0.5947653651237488,0.7194945812225342,0.27554813027381897
